Site,Date,Day.Night,Time pt,Pool,Time,Salinity ,Conductivity,Temp.pool,DO,mV,Temp.in,pH.pre,TA,CRM.off,NN,PO,NH4,Wind,PoolID,SetID,comments
Bodega,7/25/2016,Day,0,1,6:40,36.4,40634,11.2,4.15,-9.7,11.059,7.317512549,2224.692358,0.304039,13.7,1.52,10.34,0,1,1,
Bodega,7/25/2016,Day,0,2,6:44,36.5,40602,11.1,5.13,-9.5,11.219,7.312964831,2241.191052,0.304039,27.8,3.84,4.76,0,2,2,
Bodega,7/25/2016,Day,0,3,6:46,36.3,40030,10.7,3.51,-7.2,11.252,7.272001231,2244.059223,0.304039,12.4,1.44,7.61,0,3,3,
Bodega,7/25/2016,Day,0,4,6:52,36.8,41734,12,4.28,-12.7,12.273,7.36288558,2228.450598,0.304039,19,2.25,12.1,0,4,4,
Bodega,7/25/2016,Day,0,5,6:55,36.5,41286,11.7,2.25,-7,11.942,7.264253367,2229.353584,0.304039,9.32,1.38,8.04,0,5,5,
Bodega,7/25/2016,Day,0,6,6:57,36.6,41430,11.8,2.27,-5.2,12.103,7.231472046,2203.95489,0.304039,7.28,1.1,3.79,0,6,6,
Bodega,7/25/2016,Day,0,7,7:03,36.6,40368,10.8,3.95,-12.6,11.105,7.368640122,2212.785804,0.304039,11.6,1.48,13.43,0,7,7,
Bodega,7/25/2016,Day,0,8,7:06,36.6,40929,11.3,1.99,-8.2,11.633,7.287370927,2250.109676,0.304039,14.9,3.28,3.79,0,8,8,
Bodega,7/25/2016,Day,0,9,7:08,36.6,40623,11,3.07,-2.9,11.42,7.194821539,2231.882896,0.304039,6.91,2.53,3.37,0,9,9,
Bodega,7/25/2016,Day,0,10,7:16,36.6,40337,10.7,4.83,-16.5,11.076,7.437980011,2249.931486,0.304039,24.8,3.17,3.13,0,10,10,
Bodega,7/25/2016,Day,0,11,7:26,36.6,40552,11,4.68,-11,11.324,7.338882128,2175.535834,0.304039,9.34,1.31,7.85,0,11,11,
Bodega,7/25/2016,Day,0,12,7:18,36.6,40405,10.7,5.72,-19.5,11.195,7.490355591,2224.026418,0.111498,10.9,1.25,5.98,0,12,12,
Bodega,7/25/2016,Day,0,13,7:20,36.6,40494,10.8,5.83,-21,11.271,7.516411802,2227.583089,0.111498,7.32,1.08,2.64,0,13,13,
Bodega,7/25/2016,Day,0,14,7:30,36.9,43766,13.7,1.71,-5.7,13.632,7.231147391,2198.245542,0.111498,5.1,1.9,2.82,0,14,14,
