Pool,Time Point,Day.Night,NEC (mmol m-2 hr-1),NCP (mmol m-2 hr-1)
1,1,Day,-4.185291724,12.48251339
2,1,Day,4.375172399,9.539187098
3,1,Day,-15.30067022,-11.23628452
4,1,Day,-6.270033214,1.793902098
5,1,Day,4.405178032,22.69703475
6,1,Day,-2.127987781,13.17119476
7,1,Day,-6.591106293,9.91862514
8,1,Day,4.751635422,14.22925749
9,1,Day,-1.855066991,30.59293895
10,1,Day,3.971445328,0.270067496
11,1,Day,0.686912177,25.53093307
12,1,Day,11.58334218,11.55039853
13,1,Day,-4.995780506,4.063497372
14,1,Day,1.306180469,5.581618306
15,1,Day,6.825577445,-1.871842878
1,2,Day,-1.394391622,7.289307431
2,2,Day,5.764228962,11.00266802
3,2,Day,0.906544787,22.85089091
4,2,Day,16.06484627,17.44489929
5,2,Day,8.911120094,41.30487773
6,2,Day,10.1545656,57.89350092
7,2,Day,-3.349061466,20.27632471
8,2,Day,-5.526537107,23.4805937
9,2,Day,6.339695972,72.12744392
10,2,Day,6.288715046,39.07546693
11,2,Day,9.63771248,47.78814186
12,2,Day,-12.58448244,-3.777430963
13,2,Day,3.457907796,39.1618723
14,2,Day,-0.86254341,46.19434717
15,2,Day,-3.415530941,11.98169342
1,3,Day,-6.458952992,-4.656455883
2,3,Day,-1.377340132,9.647167418
3,3,Day,5.972089714,20.10290952
4,3,Day,9.089436378,21.1064806
5,3,Day,12.18429057,52.68276182
6,3,Day,5.146182471,39.61494541
7,3,Day,-2.789588588,24.50212698
8,3,Day,12.14414653,66.62975671
9,3,Day,-0.805994587,58.57743149
10,3,Day,10.75897264,33.71440999
11,3,Day,14.24287493,49.5323773
12,3,Day,2.030401993,12.09021474
13,3,Day,0.710675894,57.07508159
14,3,Day,-3.759936693,40.3910855
15,3,Day,10.98841925,27.99485495
1,4,Day,3.357237751,19.07652637
2,4,Day,4.088602309,17.46574709
3,4,Day,6.326995136,23.68936575
4,4,Day,7.139365685,25.79426954
5,4,Day,23.92003992,61.93492687
6,4,Day,12.3947375,49.50331349
7,4,Day,7.914310659,31.57938989
8,4,Day,2.80979255,117.9549391
9,4,Day,6.732672836,87.41842246
10,4,Day,16.72395852,85.00614202
11,4,Day,17.73323729,59.19071187
12,4,Day,-1.821849606,-1.123655927
13,4,Day,12.18568092,74.27227614
14,4,Day,8.157369057,73.90350048
15,4,Day,10.32406974,33.90892341
1,5,Day,6.133332848,31.83910095
2,5,Day,8.056262854,45.42834528
3,5,Day,18.72345,49.85644632
4,5,Day,10.62189935,30.77787609
5,5,Day,27.89772212,50.92485155
6,5,Day,16.29307743,58.84743231
7,5,Day,5.301661893,9.487282486
8,5,Day,28.27494547,90.29379992
9,5,Day,16.7637601,60.5929464
10,5,Day,-3.104061045,48.30979524
11,5,Day,29.06292541,29.49598269
12,5,Day,-3.721371651,32.17192901
13,5,Day,14.23558697,120.8393396
14,5,Day,8.372026032,64.91148809
15,5,Day,11.55478819,43.57989507
1,1,Night,4.555110581,-19.94913483
2,1,Night,-7.469327364,-30.43835925
3,1,Night,-4.668329238,-29.88783279
4,1,Night,5.844800107,-12.28508972
5,1,Night,2.455962202,-17.13909845
6,1,Night,-3.642364987,-22.36329451
7,1,Night,-4.098421499,-13.3281983
8,1,Night,-3.252977063,-16.96256333
9,1,Night,-4.185105168,-16.99300216
10,1,Night,-3.425897865,-31.77513523
11,1,Night,-1.900106435,-35.0772637
12,1,Night,1.857073095,-23.13841944
13,1,Night,-0.012193773,-28.58644766
14,1,Night,5.302113533,-33.53170995
