Pool,Time Point,Day.Night,NEC (mmol m-2 hr-1),NCP (mmol m-2 hr-1)
15,1,Night,3.53811057,-28.67224213
1,2,Night,0.448494454,-23.45199921
2,2,Night,9.714796785,-8.527386068
3,2,Night,-7.039532343,-13.57050641
4,2,Night,-3.999450622,-16.00613811
5,2,Night,2.277104266,-5.544209056
6,2,Night,-4.045824169,-13.80461976
7,2,Night,-10.59384379,-12.97546598
8,2,Night,-5.609232863,-9.83334272
9,2,Night,-6.351457994,-10.21970239
10,2,Night,6.092240762,-5.407293855
11,2,Night,-1.369217548,-13.33163165
12,2,Night,-3.465194413,-22.61310378
13,2,Night,0.664358455,-30.30764398
14,2,Night,-5.996186016,-29.6102237
15,2,Night,0.694680229,-17.11236758
1,3,Night,-8.835513411,-16.86409766
2,3,Night,-8.8285109,-20.57117008
3,3,Night,-5.491076924,-8.219687093
4,3,Night,-0.491060599,-9.275003368
5,3,Night,-0.412247557,-0.3140644
6,3,Night,0.478372192,-2.36091359
7,3,Night,-5.493784023,-6.588313304
8,3,Night,1.326699333,-2.581620853
9,3,Night,-0.305184955,-2.999741291
10,3,Night,-13.83728217,-21.27585539
11,3,Night,1.075927306,-2.644262556
12,3,Night,-0.518074117,-10.31257479
13,3,Night,-1.255798943,-19.79479898
14,3,Night,0.888135781,-12.22985796
15,3,Night,-0.592482388,-12.64094187
1,4,Night,-7.336748666,-10.98130501
2,4,Night,4.945413693,-0.477444207
3,4,Night,-6.544671534,-9.010392293
4,4,Night,-0.167935229,-6.205662315
5,4,Night,-10.08264216,-18.70557648
6,4,Night,-1.997381985,-6.901494543
7,4,Night,-6.114550099,-10.61909402
8,4,Night,-10.85890717,-17.23210519
9,4,Night,-2.978164641,-7.217420101
10,4,Night,-7.712099845,-10.49522454
11,4,Night,-6.013700505,-14.13152765
12,4,Night,-4.732601933,-12.91613974
13,4,Night,2.649082834,-13.05247414
14,4,Night,-2.393870349,-13.89264677
15,4,Night,1.519819684,-4.847338852
1,5,Night,-5.078791085,-6.046245793
2,5,Night,-9.822832834,-14.29617107
3,5,Night,-7.87441941,-7.473252849
4,5,Night,-2.258513578,-5.687383811
5,5,Night,-1.396874052,-1.77144009
6,5,Night,-4.55319668,-4.018354453
7,5,Night,-13.49138367,-14.39377208
8,5,Night,-2.199627374,-2.502338342
9,5,Night,-3.484583399,-5.409397083
10,5,Night,-9.199999841,-13.22921036
11,5,Night,-4.184736043,-5.81361066
12,5,Night,-4.417830193,-8.911302307
13,5,Night,-5.130152361,-14.17004801
14,5,Night,-3.423347294,-9.826030891
15,5,Night,-4.344348144,-6.046803177
1,1,Day,4.148217267,-16.11412365
2,1,Day,10.63622531,8.452261459
3,1,Day,2.722398574,-0.70702642
4,1,Day,-1.59931557,-15.91333385
5,1,Day,0.100225829,1.957526174
6,1,Day,-0.127800329,2.239690613
7,1,Day,23.40189545,26.5957864
8,1,Day,14.83850221,58.15220847
9,1,Day,18.70748286,43.79896729
10,1,Day,17.48226992,26.29718429
11,1,Day,11.06055988,19.19046128
12,1,Day,4.383298679,12.69700696
13,1,Day,-2.207555905,32.2774548
14,1,Day,10.67095092,13.50013755
15,1,Day,-12.24257453,-9.927376656
1,2,Day,0.19030961,15.95547151
2,2,Day,5.464726743,17.5272473
3,2,Day,8.10366499,13.96898491
4,2,Day,-5.760199275,-5.024267327
5,2,Day,3.876683052,7.786788085
6,2,Day,-7.285460859,2.071918633
7,2,Day,32.61544756,63.36606857
8,2,Day,13.6391809,116.7464045
9,2,Day,32.66089329,110.3887243
10,2,Day,22.30259429,50.09548514
11,2,Day,18.47329058,42.68831667
12,2,Day,22.45764767,40.21872659
13,2,Day,22.0539489,36.7514042
14,2,Day,15.91851804,23.67000557
15,2,Day,3.853448983,27.95273426
1,3,Day,11.32090465,50.67188278
2,3,Day,6.64207992,28.37346447
3,3,Day,10.6227606,20.44865389
4,3,Day,3.206084002,12.8792425
5,3,Day,9.326392435,11.31637929
6,3,Day,2.320077721,19.01582457
7,3,Day,11.75369068,21.68528294
8,3,Day,36.83390939,156.7489078
9,3,Day,46.2401099,111.7473501
10,3,Day,62.18523096,85.44830132
11,3,Day,30.03086693,40.9543685
12,3,Day,41.45639315,41.78192039
13,3,Day,41.97954143,85.43286368
14,3,Day,29.06726893,44.31535336
15,3,Day,28.78771014,74.13767771
1,4,Day,13.82932185,34.70395095
2,4,Day,22.63687842,28.9321266
3,4,Day,14.22506134,9.624501029
4,4,Day,6.756819898,4.768105928
5,4,Day,10.44143453,8.96558475
6,4,Day,-3.599866774,-17.62822947
7,4,Day,57.24354762,62.07337377
8,4,Day,25.00576899,88.27994281
9,4,Day,2.651679177,6.738080787
10,4,Day,34.59543604,36.02100906
11,4,Day,19.56644815,17.54315366
12,4,Day,23.68204239,18.00612429
13,4,Day,30.90663703,65.94050093
14,4,Day,10.99189309,3.123525155
15,4,Day,50.72621814,115.7657417
1,5,Day,22.41629792,73.06458667
2,5,Day,14.66030159,20.41163083
3,5,Day,7.285078547,6.208150273
4,5,Day,-0.357104614,-0.051715807
5,5,Day,5.843249403,7.613933077
6,5,Day,17.89039011,25.77686017
7,5,Day,41.1622659,62.66829528
8,5,Day,10.26603345,68.82556722
9,5,Day,33.39026585,86.87306674
10,5,Day,42.17112943,44.82195093
11,5,Day,20.1824621,25.31192586
12,5,Day,20.99822008,29.89444065
13,5,Day,29.10520389,74.62477929
14,5,Day,29.47495352,30.42499706
15,5,Day,10.84249732,5.190585615
1,1,Night,-0.90404978,9.663599718
2,1,Night,-7.65372209,-13.37434589
3,1,Night,-1.892381006,-8.048564797
4,1,Night,-2.40481933,-25.61089243
5,1,Night,-5.653956497,-0.767488692
6,1,Night,1.128892142,-7.659912189
7,1,Night,-26.64325155,-7.958515389
8,1,Night,-10.66000733,-33.01017489
9,1,Night,2.187105963,-4.242899791
10,1,Night,-9.696499824,6.859378937
11,1,Night,-15.50032526,-10.84241241
12,1,Night,-23.64920421,-8.313858049
13,1,Night,-5.337184511,4.632175984
14,1,Night,-9.821808747,2.221302044
15,1,Night,-29.72799207,-33.27469225
1,2,Night,-2.401143725,-16.25306336
2,2,Night,-0.556925171,-6.850715364
3,2,Night,-3.974208139,-7.077559197
4,2,Night,2.426321916,0.018544527
5,2,Night,-1.725033402,-0.395533324
6,2,Night,-7.731991281,-4.967069408
7,2,Night,-16.92633863,-17.17839862
8,2,Night,-3.273882803,-9.427729843
9,2,Night,-19.76046676,-21.03295409
10,2,Night,-6.736452478,-11.84708481
11,2,Night,-0.655546356,1.927983946
12,2,Night,-17.64590101,-22.83428522
13,2,Night,-11.52136813,-17.09959588
14,2,Night,-5.182443238,-5.506863474
15,2,Night,-7.874907521,-9.923519287
1,3,Night,1.939820919,-8.353695657
2,3,Night,-0.053309739,-2.504261793
3,3,Night,-7.47204656,-5.443079108
4,3,Night,-7.364011986,-6.304394002
5,3,Night,-0.951729532,0.311855331
6,3,Night,-3.00639478,2.243620514
7,3,Night,5.035548269,10.15312204
8,3,Night,-9.064757338,-11.3412689
9,3,Night,-9.192296487,-18.52553206
10,3,Night,-10.2625075,-8.479762971
11,3,Night,-2.481036553,-5.390198996
12,3,Night,-17.79567451,-20.76666947
13,3,Night,-11.3227894,-12.5600781
14,3,Night,-7.570083373,-4.807247302
15,3,Night,-4.966607497,-9.138762484
1,4,Night,-0.104375647,-5.196474441
2,4,Night,-4.462939432,-5.323147476
3,4,Night,-3.292613109,-7.385710801
4,4,Night,-1.478600186,-8.228926508
5,4,Night,-0.864026926,-2.783289706
6,4,Night,-0.056757769,1.540225649
7,4,Night,-20.15536508,-38.8801724
8,4,Night,-17.17661866,-35.47980774
9,4,Night,-4.625091449,-10.8359154
10,4,Night,3.601186118,-2.649446813
11,4,Night,1.423708217,1.92954373
12,4,Night,-7.729087589,-7.813584653
13,4,Night,-6.20798992,-10.48473529
14,4,Night,-0.21889991,-5.558599224
15,4,Night,-12.40084582,-15.17962276
1,5,Night,-12.27576826,-16.66084405
2,5,Night,5.658173909,4.508718672
3,5,Night,-3.858952535,-4.680699454
4,5,Night,-3.951375048,-4.161160265
5,5,Night,-4.56782901,-6.757138303
6,5,Night,-7.29085529,-13.38646207
7,5,Night,-12.59179485,-12.54457159
8,5,Night,-15.83152529,-19.41468398
9,5,Night,-3.164031589,-4.800059056
10,5,Night,-7.279792562,-16.4557688
11,5,Night,-5.427341861,-5.14366617
12,5,Night,-15.96137928,-14.2125286
13,5,Night,-9.681658163,-9.996298828
14,5,Night,-5.907996789,-4.277219375
15,5,Night,-20.69713404,-27.65182675
1,1,Day,5.298839494,22.44158113
2,1,Day,-1.815241665,31.88472433
3,1,Day,7.680825509,63.52792833
4,1,Day,16.21823569,26.37485017
5,1,Day,0.823284562,19.43957642
6,1,Day,23.06579135,72.26622916
8,1,Day,21.9386799,23.41839715
9,1,Day,24.12412291,48.88313439
10,1,Day,17.66091032,38.04240427
11,1,Day,-2.195768703,27.35641017
12,1,Day,21.28862358,13.8252677
13,1,Day,7.719957173,26.73039991
14,1,Day,9.753345904,43.53247568
15,1,Day,9.659923821,36.28536684
1,2,Day,4.926257252,6.538736559
2,2,Day,-0.968483931,-4.691032842
3,2,Day,30.90053117,77.61458239
4,2,Day,4.634460443,13.8185546
5,2,Day,13.57743077,23.18429139
6,2,Day,10.57012772,66.62451093
8,2,Day,9.916918686,9.427776256
9,2,Day,5.21283471,34.46972844
10,2,Day,15.68353593,60.5677396
11,2,Day,16.5451313,23.33016145
12,2,Day,-6.938404577,19.71059934
13,2,Day,16.97737554,14.84472104
14,2,Day,-5.662874409,-1.662733281
15,2,Day,-8.48056773,9.904145254
1,3,Day,0.858075792,2.027602481
2,3,Day,6.492973125,-2.069951708
3,3,Day,-36.75838055,10.56515357
4,3,Day,0.21594193,-6.82712702
5,3,Day,4.881849708,18.90141792
6,3,Day,45.35163683,62.71893791
8,3,Day,-2.516175142,4.059558305
9,3,Day,11.95877156,19.52558409
10,3,Day,23.22889064,9.84705541
11,3,Day,8.30660839,7.504070288
12,3,Day,15.88543201,-6.23703383
13,3,Day,4.93946099,1.431354441
14,3,Day,14.71693223,26.78811735
15,3,Day,12.87388009,21.38026515
1,4,Day,2.90139397,-6.038552505
2,4,Day,8.092805241,9.066758886
3,4,Day,67.16945269,77.66507153
4,4,Day,15.154519,1.15674813
5,4,Day,14.08413198,7.079252211
6,4,Day,55.97291742,46.32669279
8,4,Day,9.94721896,-2.587730114
9,4,Day,11.19281962,-11.77269772
10,4,Day,1.070433772,10.55417006
11,4,Day,15.84023465,15.05009133
12,4,Day,6.604865467,-7.643197635
13,4,Day,7.699991919,-5.210504795
14,4,Day,16.65282455,-19.84565182
15,4,Day,35.71182381,33.55286358
1,5,Day,1.372485736,-5.734576328
2,5,Day,40.92819141,7.955933857
3,5,Day,64.10587396,-96.10492383
4,5,Day,-1.685077847,-21.82834115
5,5,Day,6.129592082,13.50154381
6,5,Day,-2.661433139,-8.389648438
8,5,Day,1.011312682,-6.256260747
9,5,Day,9.590526378,1.659109223
10,5,Day,10.55102107,10.69560134
11,5,Day,12.27814566,2.395619375
12,5,Day,10.88413149,-2.689632809
13,5,Day,4.489542711,-7.044995811
14,5,Day,-5.848994706,-24.53922445
15,5,Day,-20.46455599,-25.227857
1,1,Night,-9.52799549,-13.91174631
2,1,Night,-1.20635527,-1.261732276
3,1,Night,-8.217800901,-38.40227723
4,1,Night,-6.045967255,-12.82656361
5,1,Night,-9.494019964,-18.85004351
6,1,Night,-1.940370413,-33.83817011
8,1,Night,-6.169897151,-11.05122239
9,1,Night,-10.79894307,-23.33815506
10,1,Night,-9.462274649,-28.31758624
11,1,Night,-34.90315228,-47.58075585
12,1,Night,-11.4666967,-44.35631635
13,1,Night,-25.43374378,-38.68192039
14,1,Night,-2.927489754,-16.83472396
15,1,Night,5.402273174,-14.8826339
1,2,Night,-1.741383496,-6.124012026
2,2,Night,2.938019382,-6.79508189
3,2,Night,-3.508343397,-28.0276641
4,2,Night,-5.148448274,-11.47872083
5,2,Night,-1.182085677,-9.382327918
6,2,Night,-28.55810076,-54.40871155
8,2,Night,-3.226133885,-8.481187966
9,2,Night,-0.409382231,-7.103259791
10,2,Night,-15.14181417,-20.87115167
11,2,Night,8.078496498,-5.103936265
12,2,Night,3.393737332,16.3303982
13,2,Night,-9.077177697,-17.03735714
14,2,Night,-3.955333729,-10.4598716
15,2,Night,25.31499113,7.398066453
1,3,Night,-3.474173557,-4.419245702
2,3,Night,-2.772424165,-12.6442587
3,3,Night,-39.20394275,-69.54696962
4,3,Night,-5.144005421,-13.40103211
5,3,Night,-6.808667241,-11.93474782
6,3,Night,-9.624104228,-45.39933152
8,3,Night,-1.032911723,-5.702466616
9,3,Night,-31.05347065,-38.30719781
10,3,Night,-15.87361039,-19.54951011
11,3,Night,-1.073818387,-10.58695208
12,3,Night,-3.77984999,-8.211702322
13,3,Night,-6.906078374,-10.64788334
14,3,Night,-8.402439769,-11.96899606
15,3,Night,-40.43261159,-130.3050615
1,4,Night,-4.98696483,-5.335191446
2,4,Night,0.055421224,-10.54061284
3,4,Night,12.4825307,-2.84873937
4,4,Night,-3.747198027,-6.828797985
5,4,Night,-1.223677425,-6.345212546
6,4,Night,-25.46263972,-46.76329254
8,4,Night,-3.897220919,-7.272380109
9,4,Night,-0.671355576,-3.636157223
10,4,Night,-17.67326249,-18.83387295
11,4,Night,-16.27185947,-26.85523318
12,4,Night,-13.25474424,-14.96344832
13,4,Night,-4.235565957,-7.384443831
14,4,Night,-7.628890929,-10.34016479
15,4,Night,-2.684871539,42.70410902
1,1,Day,1.045711513,7.187720485
2,1,Day,4.116700119,23.14006808
3,1,Day,4.925157184,22.11969614
5,1,Day,8.744340792,25.21455041
6,1,Day,4.005700899,11.62845637
7,1,Day,-4.315638208,13.36621028
8,1,Day,6.952180958,13.49914005
10,1,Day,2.508656277,35.00231273
11,1,Day,3.959559427,80.76438106
12,1,Day,-3.339646219,11.95319199
13,1,Day,4.062806009,15.01834143
14,1,Day,14.64589493,52.92297967
15,1,Day,1.487180015,21.31981286
1,2,Day,6.803677552,22.68948388
2,2,Day,10.87558439,52.66840264
3,2,Day,11.9175935,41.81150334
5,2,Day,18.16206063,49.57928173
6,2,Day,-11.36726578,-1.334956798
7,2,Day,5.077778071,0.196520971
8,2,Day,-2.31931334,13.2041144
10,2,Day,22.49899791,60.37858077
11,2,Day,16.42527487,93.91705794
12,2,Day,8.704006885,24.45873723
13,2,Day,-2.630064216,14.39624232
14,2,Day,8.035856987,28.23211098
15,2,Day,7.548978638,28.08107079
1,3,Day,15.23893465,39.01718366
2,3,Day,1.99962839,37.08170559
3,3,Day,-2.197372458,41.09102972
5,3,Day,7.482549374,46.11641239
6,3,Day,23.45984539,40.51491552
7,3,Day,6.923603172,62.12220407
8,3,Day,0.688419193,12.49238417
10,3,Day,-0.306090275,46.3501763
11,3,Day,-2.245508055,97.08085694
12,3,Day,-3.63625774,3.085246815
13,3,Day,17.95474703,44.74764185
14,3,Day,19.98699268,56.59042069
15,3,Day,1.793153893,30.57850123
1,4,Day,-12.89083928,27.30035325
2,4,Day,20.39088418,46.83029064
3,4,Day,15.93345176,43.23825466
5,4,Day,14.05749128,41.73236402
6,4,Day,9.582313233,28.7690008
7,4,Day,7.111859835,37.62025439
8,4,Day,13.52795906,34.32273604
10,4,Day,25.51027531,48.15116061
11,4,Day,34.84263837,127.9037009
12,4,Day,3.195066,19.72588627
13,4,Day,-6.690774235,8.699242207
14,4,Day,6.708955636,27.29315268
15,4,Day,4.20210611,25.29720715
1,5,Day,-3.317724143,6.069333463
2,5,Day,2.587308763,24.65597145
3,5,Day,9.29575154,26.09565932
5,5,Day,9.538213664,35.03823126
6,5,Day,-0.706546825,10.90087526
8,5,Day,20.10410941,35.00426121
10,5,Day,3.046181919,39.41116999
11,5,Day,-2.58644698,83.43048289
12,5,Day,5.165845307,25.40911147
13,5,Day,13.22311187,30.9411892
14,5,Day,12.73980603,31.71949907
15,5,Day,5.636256472,25.40476317
1,1,Night,-11.72664411,-18.72126471
2,1,Night,-9.61213339,-18.90845231
3,1,Night,-14.65499461,-28.88551447
5,1,Night,-14.61953457,-29.40303931
6,1,Night,-0.627386378,-11.56352507
7,1,Night,-1.439949667,-15.80461293
8,1,Night,-14.1680818,-36.99670864
10,1,Night,-5.779503027,-17.12072132
11,1,Night,3.988836788,-47.22905281
12,1,Night,-3.926066048,-16.43331038
13,1,Night,-2.548934917,-14.34248066
14,1,Night,-19.39824097,-29.37493562
15,1,Night,-1.609928831,-5.891502085
1,2,Night,-2.756185,-7.884316821
2,2,Night,-0.44095021,-6.327920824
3,2,Night,0.510281723,-2.037976788
5,2,Night,5.119773079,-2.541738351
6,2,Night,-0.961295684,-9.265827284
7,2,Night,0.006174508,-10.18579341
8,2,Night,-5.950934569,-28.44503199
10,2,Night,-6.182724787,-13.80266781
11,2,Night,-9.843100153,-49.15163439
12,2,Night,-3.553927272,-14.53359008
13,2,Night,-6.574621187,-14.39718361
14,2,Night,-8.664227621,-13.87319058
15,2,Night,-3.728429587,-8.28078237
1,3,Night,-6.814565801,-9.019966777
2,3,Night,-8.147061087,-12.81035497
3,3,Night,-10.95945457,-14.30798464
5,3,Night,-12.03048508,-14.85327188
6,3,Night,-4.395716649,-8.889001719
7,3,Night,-7.509346277,-13.65026091
8,3,Night,1.20808945,-14.39343471
10,3,Night,-5.358876263,-9.069125028
11,3,Night,-11.27585748,-38.16423607
12,3,Night,-2.92377839,-6.177504735
13,3,Night,-0.531783574,-6.967405333
14,3,Night,-11.60141754,-12.77627001
15,3,Night,-1.121712083,-4.223907895
1,4,Night,-5.874419235,-8.735131417
2,4,Night,10.54278549,10.34755287
3,4,Night,8.854224734,10.68762249
5,4,Night,-3.765392987,-4.072214202
6,4,Night,-8.704172841,-8.989385265
7,4,Night,-1.978738213,-4.717249682
8,4,Night,-9.92752329,-13.92134003
10,4,Night,-4.120630519,-4.91962222
11,4,Night,-12.09126459,-33.2107217
12,4,Night,0.318113399,-2.706939132
13,4,Night,-5.803679593,-4.99343283
14,4,Night,-8.129495755,-6.578544344
15,4,Night,-3.336886347,-2.297727393
1,5,Night,-1.16124683,-0.505889396
2,5,Night,-6.311992282,-5.744324979
3,5,Night,-5.698094712,-5.47259328
5,5,Night,-11.55102313,-13.99799176
6,5,Night,1.258994158,0.068290681
7,5,Night,-3.869322531,-4.327806784
8,5,Night,3.2555872,-5.118950299
10,5,Night,-4.327036061,-5.652597013
11,5,Night,-12.57741813,-24.51505152
12,5,Night,-2.479119885,-3.60706561
14,5,Night,-8.127157106,-11.64474904
15,5,Night,-1.929895062,-1.128718407
