Site,Sampling Date,Day.Night,Time point,Pool ID,Sampling Time,Salinity,Temp in the pool,DO (mg/L),TA (uE/kg),NN (umol/L),PO (umol/L),NH4 (umol/L),Wind Speen (m/2),pH,TA normalized to salinity and nutrients (umol/kg),CO2 (umol/kg),fCO2 (uatm),pCO2 (uatm),HCO3 (umol/kg),CO3 (umol/kg),DIC (umol/kg),OmegaAragonite,OmegaCalcite,Fugosity of CO2 (mmol m-2 hr-1),DIC Normalized to Salinity (umol kg),PAR (umol photos m-2 s-1)
Bodega,7/25/2016,Day,0,1,6:40:00,36.4,11.2,4.15,2217.897086,13.7,1.52,10.34,0,7.315765977,2247.47461,97.83442225,2337.452558,2346.369597,2142.370691,29.33726891,2269.542382,0.442291873,0.692674452,0,2294.75952,6.649212201
Bodega,7/25/2016,Day,0,2,6:44:00,36.5,11.1,5.13,2234.39578,27.8,3.84,4.76,0,7.314437214,2292.682388,98.96114624,2358.088126,2367.095718,2156.56597,29.39161926,2284.918735,0.442795471,0.693516123,0,2316.653718,7.26069851
Bodega,7/25/2016,Day,0,3,6:46:00,36.3,10.7,3.51,2237.263951,12.4,1.44,7.61,0,7.278741909,2262.189734,109.2956942,2567.790265,2577.652014,2168.628033,26.68208283,2304.60581,0.402163128,0.630460197,0,2323.810859,9.66376214
Bodega,7/25/2016,Day,0,4,6:52:00,36.8,12,4.28,2221.655326,19,2.25,12.1,0,7.366314394,2280.378778,84.75680146,2082.388279,2090.248569,2133.236533,34.15947867,2252.152813,0.514518402,0.804275671,0,2302.200654,8.481616402
Bodega,7/25/2016,Day,0,5,6:55:00,36.5,11.7,2.25,2222.558312,9.32,1.38,8.04,0,7.267177122,2256.124122,108.5283919,2636.496227,2646.492666,2153.291814,26.94530655,2288.765512,0.406343196,0.635724518,0,2320.553922,10.79159518
Bodega,7/25/2016,Day,0,6,6:57:00,36.6,11.8,2.27,2197.159618,7.28,1.1,3.79,0,7.235087254,2238.445445,115.3827339,2813.596065,2824.252315,2133.064318,24.9430142,2273.390066,0.376000079,0.588083418,0,2311.2799,9.404716292
Bodega,7/25/2016,Day,0,7,7:03:00,36.6,10.8,3.95,2205.990532,11.6,1.48,13.43,0,7.372509411,2242.401208,85.75972516,2024.886016,2032.648062,2121.679048,32.73956095,2240.178334,0.492729637,0.772060262,0,2277.514639,12.71455373
Bodega,7/25/2016,Day,0,8,7:06:00,36.6,11.3,1.99,2243.314404,14.9,3.28,3.79,0,7.29144343,2295.332811,104.3332113,2503.640217,2513.180642,2168.812015,28.31692584,2301.462153,0.426503711,0.667689894,0,2339.819855,12.11451759
Bodega,7/25/2016,Day,0,9,7:08:00,36.6,11,3.07,2225.087624,6.91,2.53,3.37,0,7.199812991,2268.343585,129.6228128,3080.482812,3092.274349,2165.583021,22.62938736,2317.835221,0.340676687,0.533617396,0,2356.465808,14.09542982
Bodega,7/25/2016,Day,0,10,7:16:00,36.6,10.7,4.83,2243.136214,24.8,3.17,3.13,0,7.442902136,2305.775818,73.82316952,1737.38537,1744.051869,2142.308471,38.7227399,2254.854381,0.582688307,0.913178466,0,2292.435287,9.190002774
Bodega,7/25/2016,Day,0,11,7:26:00,36.6,11,4.68,2168.740562,9.34,1.31,7.85,0,7.34293575,2207.732905,89.99191794,2138.655615,2146.833612,2090.353147,30.36969148,2210.714757,0.457203976,0.716139391,0,2247.560002,7.040266933
