Site,Sampling Date,Day.Night,Time point,Pool ID,Sampling Time,Salinity,Temp in the pool,DO (mg/L),TA (uE/kg),NN (umol/L),PO (umol/L),NH4 (umol/L),Wind Speen (m/2),pH,TA normalized to salinity and nutrients (umol/kg),CO2 (umol/kg),fCO2 (uatm),pCO2 (uatm),HCO3 (umol/kg),CO3 (umol/kg),DIC (umol/kg),OmegaAragonite,OmegaCalcite,Fugosity of CO2 (mmol m-2 hr-1),DIC Normalized to Salinity (umol kg),PAR (umol photos m-2 s-1)
Bodega,7/25/2016,Day,0,12,7:18:00,36.6,10.7,5.72,2221.534438,10.9,1.25,5.98,0,7.496997447,2264.832845,64.22544684,1511.508547,1517.30691,2111.017159,43.21864516,2218.461251,0.650341356,1.019203088,0,2255.435605,7.409782324
Bodega,7/25/2016,Day,0,13,7:20:00,36.6,10.8,5.83,2225.091109,7.32,1.08,2.64,0,7.522808196,2268.031961,60.27526316,1423.168478,1428.620367,2107.823334,45.97546781,2214.074065,0.69192973,1.084187774,0,2250.975299,13.44721996
Bodega,7/25/2016,Day,0,14,7:30:00,36.9,13.7,1.71,2195.753562,5.1,1.9,2.82,0,7.230349118,2254.931901,110.789484,2872.763196,2883.382243,2126.688646,26.65698212,2264.135112,0.402570304,0.627119915,0,2320.73849,99.40713132
Bodega,7/25/2016,Day,0,15,6:48:00,36.6,10.9,4.83,2210.563375,22.1,2.71,6.28,0,7.424175265,2266.244931,75.69350932,1793.02825,1799.890889,2114.552843,36.89593927,2227.142292,0.555368023,0.870053822,0,2264.26133,17.61672474
Bodega,7/25/2016,Day,0,Ocean,7:34:00,36.5,10.6,8.82,2229.955874,12.5,1.29,0.58,0,7.799600265,2274.320955,30.71986169,720.2071637,722.9711749,2020.187244,82.5107223,2133.417828,1.242095805,1.947129445,0,2163.048631,NA
Bodega,7/25/2016,Day,1,1,7:40:00,36.5,11,4.42,2237.139954,8.35,1.24,11.25,1.1,7.457913208,2266.528286,70.56007525,1675.898801,1682.304029,2134.220371,40.31592409,2245.09637,0.607278038,0.951303455,0.178111977,2276.278264,13.49681356
Bodega,7/25/2016,Day,1,2,7:43:00,36.6,11.2,5.4,2232.923906,8.5,1.25,9.55,1.1,7.44347184,2270.342637,72.46464596,1733.300837,1739.908767,2132.377307,39.35671658,2244.198669,0.592687385,0.928018463,0.184806962,2281.601981,14.544884
Bodega,7/25/2016,Day,1,3,7:45:00,36.6,11.1,4.19,2318.699221,13.9,1.43,8.16,1.1,7.31448178,2364.633708,102.7367121,2449.454842,2458.812375,2240.689335,30.60890516,2374.034952,0.460877588,0.721763719,0.284881251,2413.602201,23.44547032
Bodega,7/25/2016,Day,1,4,7:50:00,36.7,12.4,4.81,2260.462016,25,3.81,12.58,1.1,7.415843264,2320.961027,75.80460923,1885.166298,1892.244096,2158.069832,39.25284043,2273.127281,0.592000534,0.924773991,0.197959655,2317.326978,17.62776414
Bodega,7/25/2016,Day,1,5,7:53:00,36.6,12.3,5.32,2200.305085,5.71,1.27,8.95,1.1,7.403265677,2234.974003,76.37820184,1892.351113,1899.465081,2105.630743,36.97963593,2218.98858,0.557937299,0.871816313,0.19966178,2255.971723,26.55335453
Bodega,7/25/2016,Day,1,6,7:55:00,36.7,12.2,3.63,2201.14495,7.96,1.31,4.34,1.1,7.336583816,2248.970851,89.7901397,2218.862683,2227.217839,2119.338319,31.8689395,2240.997398,0.480465139,0.75083073,0.243937978,2284.572347,20.72922403
Bodega,7/25/2016,Day,1,7,7:57:00,36.7,11.2,3.54,2232.067553,9.63,1.35,10.58,1.1,7.498875265,2275.876644,63.32018893,1515.438443,1521.214432,2118.334738,44.5155142,2226.170441,0.669997981,1.048967192,0.15455514,2269.457089,31.37018776
Bodega,7/25/2016,Day,1,8,8:00:00,36.6,11.6,4.36,2236.928437,3.64,0.997,3.01,1.1,7.389616937,2275.864694,81.74696631,1980.665702,1988.179817,2146.358843,35.54582602,2263.651635,0.535648784,0.838094074,0.216247457,2301.379162,24.34500212
Bodega,7/25/2016,Day,1,9,8:02:00,36.6,11.5,7.18,2239.839126,2.03,0.871,1.98,1.1,7.464641524,2278.106128,68.53745147,1655.286507,1661.572089,2133.532364,41.83258562,2243.902401,0.630280344,0.986339915,0.172328743,2281.300774,30.2158782
Bodega,7/25/2016,Day,1,10,8:10:00,36.5,11.2,4.9,2249.566078,8.28,1.34,3.37,1.1,7.474825787,2287.146857,67.7537347,1619.692926,1625.866978,2141.468426,42.38962864,2251.61179,0.638717517,1.000192728,0.16917445,2282.884176,17.2452392
Bodega,7/25/2016,Day,1,11,8:17:00,36.6,11.4,6.02,2166.861423,9.09,1.44,8.34,1.1,7.486211375,2205.20228,63.070659,1518.363876,1524.136106,2058.176218,42.24464714,2163.491524,0.636383838,0.996074374,0.154049848,2199.549716,9.843287662
Bodega,7/25/2016,Day,1,12,8:12:00,36.6,11.1,5.73,2170.120034,17.9,2.14,8.34,1.1,7.46694638,2218.183701,66.68816829,1589.983302,1596.051744,2066.185805,40.09591445,2172.969888,0.603723271,0.945469175,0.165499645,2209.186053,10.95364639
Bodega,7/25/2016,Day,1,13,8:14:00,36.7,11.2,7.18,2231.484633,8.87,1.47,3.07,1.1,7.551781227,2282.285973,55.67611039,1332.49315,1337.570841,2103.910377,49.94016856,2209.526656,0.751643841,1.176794188,0.129240571,2252.489674,24.21854365
Bodega,7/25/2016,Day,1,14,8:20:00,36.8,14,2.89,2201.43802,1.61,2.48,2.82,1.1,7.248012939,2251.657087,105.7716572,2766.580914,2776.767174,2128.389061,28.04783589,2262.208554,0.424098259,0.660307261,0.299780545,2312.479856,199.9401405
Bodega,7/25/2016,Day,1,15,7:47:00,36.6,11.3,4.08,2192.670958,14,2.21,8.58,1.1,7.393893359,2236.97264,79.88869281,1917.055381,1924.355877,2102.493102,34.75431244,2217.136107,0.523462304,0.819478193,0.209569413,2254.088375,34.38490031
Bodega,7/25/2016,Day,1,Ocean,8:23:00,36.6,11.1,9.05,2194.428506,6.81,1.2,0.28,1.1,7.961952415,2238.861147,19.62677762,467.9428073,469.7266013,1900.971569,115.3220638,2035.92041,1.736401688,2.719315871,0.009648184,2069.852417,NA
Bodega,7/25/2016,Day,2,1,8:40:00,36.6,11.5,4.63,2240.427279,7.57,1.57,13.79,1.3,7.523733107,2273.040233,59.40754376,1434.784975,1440.231938,2118.870738,47.60050058,2225.878783,0.717183971,1.12233736,0.19846191,2262.976762,22.35610268
Bodega,7/25/2016,Day,2,2,8:42:00,36.6,11.6,5.42,2204.770709,6.94,1.28,9.55,1.3,7.484657385,2240.16472,64.08784131,1552.798775,1558.686921,2094.338032,43.16915094,2201.595024,0.65052654,1.017835668,0.220352902,2238.288275,23.95259676
Bodega,7/25/2016,Day,2,3,8:44:00,36.7,11.9,4.97,2299.243427,20,2.3,8.22,1.3,7.508919946,2358.304715,62.46685842,1528.991399,1534.766742,2176.379882,48.1020902,2286.948831,0.724818981,1.133330489,0.213620746,2331.41728,40.29498312
Bodega,7/25/2016,Day,2,4,8:50:00,36.8,13,6.73,2165.090011,7.11,1.28,11.43,1.3,7.488139965,2210.095566,60.01644715,1521.842409,1527.510018,2049.347753,45.16393045,2154.528131,0.681517479,1.063259873,0.20488644,2202.406534,27.21367275
Bodega,7/25/2016,Day,2,5,8:52:00,36.6,13.2,7.7,2157.967951,4.31,1.29,9.25,1.3,7.660637575,2190.22325,39.05473781,995.3959362,999.091331,1990.695356,65.4831759,2095.233269,0.98968628,1.543727213,0.108308641,2130.153824,49.12017121
Bodega,7/25/2016,Day,2,6,8:56:00,36.5,12.7,8.35,2162.205367,4.03,1.04,3.49,1.3,7.757386241,2193.837941,31.19156772,782.1845015,785.1063472,1961.188187,78.88796146,2071.267716,1.191808214,1.861030054,0.070762127,2100.035323,35.27617362
Bodega,7/25/2016,Day,2,7,8:58:00,36.6,11.9,6.94,2257.562428,6.93,1.29,7.85,1.3,7.710079824,2295.564635,37.47665859,916.7878826,920.2484714,2073.455381,72.66499426,2183.597034,1.09556785,1.713203004,0.097992992,2219.990317,55.36753245
Bodega,7/25/2016,Day,2,8,9:01:00,36.7,12.5,7.91,2257.562428,3.43,1.37,4.34,1.3,7.597299305,2301.928419,48.66487288,1214.065715,1218.614678,2109.152614,58.48680033,2216.304287,0.882243633,1.377901254,0.151197682,2259.399093,33.78289433
Bodega,7/25/2016,Day,2,9,9:03:00,36.6,12.3,13.08,2202.002963,1.07,0.792,0.82,1.3,8.021295468,2239.762379,16.24750861,402.549291,404.0601303,1858.785815,135.4688858,2010.50221,2.043912612,3.193757364,0.000755092,2044.01058,50.63323839
Bodega,7/25/2016,Day,2,10,9:06:00,36.4,11.8,8.99,2227.734703,4.39,0.965,2.16,1.3,7.740131496,2255.71781,34.46798897,839.5408705,842.7136935,2035.608394,75.81577492,2145.892158,1.144161655,1.789895518,0.083750858,2169.735404,25.44332703
Bodega,7/25/2016,Day,2,11,9:16:00,36.7,12,9.67,2115.275047,9.62,1.99,6.4,1.3,7.746272519,2161.7167,31.90913486,783.5287618,786.4820994,1924.991554,73.77391735,2030.674607,1.111843894,1.738156833,0.072523988,2070.159946,14.23708846
Bodega,7/25/2016,Day,2,12,9:10:00,36.7,11.5,7.01,2224.429293,10.7,1.43,6.46,1.3,7.547017882,2273.462334,55.69001853,1345.76896,1350.877487,2097.181837,49.81802345,2202.689879,0.750169219,1.173841778,0.18131078,2245.51996,12.68636408
Bodega,7/25/2016,Day,2,13,9:12:00,36.7,11.7,8.52,2225.635244,5.43,1.29,4.04,1.3,7.733050492,2271.643595,35.04381755,852.2960881,855.5213166,2035.489068,74.78969735,2145.322583,1.126572741,1.762173809,0.086302192,2187.037188,36.70997716
Bodega,7/25/2016,Day,2,14,9:18:00,36.7,14.1,4.6,2209.90079,2.15,1.23,2.1,1.3,7.461022567,2254.175972,63.64400338,1668.867302,1674.996624,2094.960878,45.15992036,2203.764802,0.683401338,1.063913294,0.224045861,2246.615784,316.4623979
Bodega,7/25/2016,Day,2,15,8:46:00,36.7,11.8,5.07,2205.991532,12.3,2.18,11.19,1.3,7.511844978,2252.239784,59.64316177,1455.221469,1460.724808,2086.856527,46.25448749,2192.754176,0.696859107,1.089816673,0.200321008,2235.391063,49.47222081
Bodega,7/25/2016,Day,2,Ocean,9:21:00,36.6,11.4,9.14,2243.405561,6.52,0.911,1.49,1.3,7.955849326,2286.83567,20.21936281,486.7612066,488.609595,1945.631567,117.7572586,2083.608188,1.773924537,2.776564502,0.016959946,2118.334991,NA
Bodega,7/25/2016,Day,3,1,9:40:00,36.6,12.3,4.9,2272.413244,9.86,1.72,17.76,0.836,7.531210472,2304.003798,57.9198888,1435.026793,1440.418821,2143.80509,50.54876055,2252.273739,0.762664051,1.191716277,0.080019156,2289.811635,34.16578558
Bodega,7/25/2016,Day,3,2,9:43:00,36.6,12.2,6.37,2211.954421,8.92,1.45,11.36,0.836,7.574750448,2247.813828,50.82604841,1255.281599,1260.003384,2074.500465,53.86279866,2179.189312,0.812518405,1.269860204,0.066353433,2215.509134,37.65173924
Bodega,7/25/2016,Day,3,3,9:45:00,36.7,12.4,8.27,2261.851262,16.6,1.63,10.93,0.836,7.692095611,2313.273647,38.68536529,962.0568933,965.6652444,2080.505792,71.48696692,2190.678124,1.078146756,1.684191182,0.043343452,2233.274643,77.20950653
Bodega,7/25/2016,Day,3,4,9:48:00,36.6,13.9,8.89,2118.143439,11.5,1.49,18.8,0.836,7.622666787,2147.538996,41.31072532,1075.996687,1079.956053,1962.188601,60.76473896,2064.264065,0.919702464,1.432521444,0.049745155,2098.668467,34.7828937
Bodega,7/25/2016,Day,3,5,9:53:00,37.1,14.3,12.52,2066.163288,4.54,1.37,9.96,0.836,7.943789533,2125.122305,17.49823997,462.6971391,464.3899131,1763.872207,117.482199,1898.852646,1.774253529,2.759984885,0.004640165,1956.873143,77.54776278
Bodega,7/25/2016,Day,3,6,9:54:00,36.7,13.7,12.7,2125.252918,4.72,1.19,6.42,0.836,7.989851713,2166.057363,16.30387264,422.2818191,423.8385475,1796.319091,128.8494984,1941.472462,1.94821386,3.035475046,0.001753825,1979.223316,48.24267187
Bodega,7/25/2016,Day,3,7,9:56:00,36.8,12.6,6.98,2253.340073,15.9,2.69,10.63,0.836,7.886547852,2311.551185,23.39634774,585.8564733,588.0472755,1979.987126,107.5237814,2110.907256,1.621291974,2.531426196,0.014310076,2157.816306,87.33203857
Bodega,7/25/2016,Day,3,8,9:58:00,36.5,13.2,12.18,2216.579483,4.35,2.08,6.42,0.836,7.936531654,2247.375448,19.92241605,507.4795954,509.3625924,1915.374818,118.6620824,2053.959316,1.794456121,2.79930297,0.008181073,2082.486529,39.80743699
Bodega,7/25/2016,Day,3,9,10:02:00,36.9,13.5,18.98,2190.602416,1.15,0.883,2.82,0.836,8.320822084,2244.560801,6.70645781,172.8242112,173.462778,1577.911699,241.7154711,1826.333628,3.648868259,5.686492392,-0.016751212,1871.991969,76.92673055
Bodega,7/25/2016,Day,3,10,10:05:00,36.6,12.6,11.73,2158.717835,5.54,1.05,3.86,0.836,7.903897439,2197.471965,21.46719867,536.9399658,538.9477372,1888.075678,106.2420015,2015.784878,1.603834659,2.50465189,0.01058569,2049.381293,40.11563631
Bodega,7/25/2016,Day,3,11,10:13:00,36.6,13,12.98,2063.634253,5.06,1.26,8.55,0.836,7.982938445,2095.76099,16.46520542,417.0372711,418.5885006,1754.248634,120.2681951,1890.982035,1.81696683,2.835262312,0.001398475,1922.498402,21.70556275
Bodega,7/25/2016,Day,3,12,10:09:00,36.6,11.9,8.53,2219.068216,15.4,1.82,9.16,0.836,7.607230179,2264.247019,47.46984161,1161.250154,1165.634688,2072.535455,57.31692368,2177.32222,0.864165469,1.351345677,0.059639179,2213.610924,14.58010351
Bodega,7/25/2016,Day,3,13,10:11:00,36.7,12.2,13.7,2216.353335,11.8,4.02,6.05,0.836,7.938625713,2269.409066,20.34103269,502.6605205,504.5497322,1920.377185,115.5036626,2056.221881,1.741365861,2.721260911,0.008061933,2096.203973,56.95483386
Bodega,7/25/2016,Day,3,14,10:16:00,37.1,14.7,6.59,2195.719234,3.44,1.95,3.07,0.836,7.646945165,2265.201544,39.31369636,1052.302123,1056.134898,2019.676142,68.96531254,2127.955151,1.04244991,1.620229393,0.046710512,2192.976003,495.2438284
Bodega,7/25/2016,Day,3,15,9:47:00,36.7,12.5,7.45,2159.528984,7.77,1.39,11.42,0.836,7.656915242,2199.215881,40.16531097,1002.023104,1005.776692,1996.914559,63.52216297,2100.602033,0.958199517,1.496530286,0.046270481,2141.447072,97.28474225
Bodega,7/25/2016,Day,3,Ocean,10:20:00,36.6,11,9.4,2244.942041,6.21,0.847,1.12,0.836,8.047614908,2288.393691,16.08426036,382.2420337,383.7008859,1892.76374,139.3144879,2048.162488,2.097325812,3.285136846,-0.001306907,2082.298529,NA
Bodega,7/25/2016,Day,4,1,11:00:00,36.8,13.9,6.56,2241.692607,8.59,1.97,19.9,0.84,7.676895797,2281.960442,38.1769241,995.4928565,999.155664,2057.442644,72.50743461,2168.127003,1.096118711,1.706975559,0.044204505,2216.307603,80.41952854
Bodega,7/25/2016,Day,4,2,11:03:00,36.9,13.4,10.03,2169.281531,5.64,1.12,12.88,0.84,7.728430085,2217.240569,32.88540928,844.8238088,847.9516633,1973.119877,76.96670686,2082.971993,1.1616343,1.810688738,0.033545351,2135.046293,83.1883288
Bodega,7/25/2016,Day,4,3,11:04:00,37,14.4,13.11,2183.729626,16.3,1.42,13.62,0.84,7.911692181,2248.602671,20.11848117,533.311385,535.2601671,1886.68291,116.9042184,2023.705609,1.767009609,2.748370648,0.009816311,2079.919654,180.0539498
Bodega,7/25/2016,Day,4,4,11:08:00,36.7,16.5,12.08,2044.473215,7.89,1.19,15.63,0.84,7.85962121,2077.549499,20.36430744,573.942325,575.9845125,1774.945316,105.0370339,1900.346658,1.598711804,2.475751049,0.01201268,1937.297843,81.87900809
Bodega,7/25/2016,Day,4,5,11:11:00,37.1,17.8,16.6,1904.529136,3.5,1.21,10.45,0.84,8.192257861,1956.807692,7.275073664,213.408681,214.1553868,1408.407486,190.0229939,1605.705554,2.895043954,4.467786181,-0.012188194,1654.768779,166.7312007
Bodega,7/25/2016,Day,4,6,11:13:00,36.8,15.5,17.91,2027.957041,3.92,0.937,7.27,0.84,8.255832336,2070.55613,6.995695281,191.5038392,192.1936315,1484.814826,211.0534173,1702.863939,3.202174412,4.969628198,-0.014604151,1740.70536,63.16317299
Bodega,7/25/2016,Day,4,7,11:15:00,37,14,10.82,2191.3412,6.79,1.55,12.27,0.84,8.103697258,2248.172622,12.21672879,319.9026286,321.0772936,1765.759734,167.6371216,1945.613584,2.531665221,3.941008802,-0.005798333,1999.658406,201.2792663
Bodega,7/25/2016,Day,4,8,11:19:00,37.5,15.3,14.79,2142.701717,1.44,1.35,5.57,0.84,8.519842111,2229.085121,3.286740578,89.78488083,90.10906927,1281.423091,337.0727727,1621.782604,5.088826606,7.89653912,-0.02182404,1689.35688,71.50658338
Bodega,7/25/2016,Day,4,9,11:20:00,37.3,15.9,25.65,2117.079344,0.745,0.733,4.29,0.84,8.7232704,2190.615886,1.599913246,44.44628216,44.60554052,1009.032081,431.9786578,1442.610652,6.539536821,10.13559687,-0.024611366,1494.704926,151.9715618
Bodega,7/25/2016,Day,4,10,11:23:00,36.9,14,17.45,2022.906794,3.43,0.929,3.55,0.84,8.383848068,2074.308688,5.011512283,131.1557306,131.6372264,1379.723667,249.1320886,1633.867268,3.76471792,5.861004989,-0.01972731,1674.71395,76.58109571
Bodega,7/25/2016,Day,4,11,11:30:00,37.3,14.3,17.55,1913.62482,3.41,1.21,9.71,0.84,8.254927373,1977.454132,6.814572576,180.3968697,181.0566434,1408.140646,192.8329694,1607.788188,2.908550148,4.523738579,-0.015911293,1665.847206,45.47939796
Bodega,7/25/2016,Day,4,12,11:25:00,37,12.9,7.67,2215.950292,6.87,1.14,10.38,0.84,7.629970355,2275.068634,43.48296296,1100.398545,1104.499977,2056.1211,62.84588058,2162.449943,0.947020657,1.477507693,0.053556746,2222.517997,28.2418652
Bodega,7/25/2016,Day,4,13,11:27:00,36.6,13.6,16.21,2183.910486,3.46,1.4,5.32,0.84,8.207996536,2219.841328,9.264244078,239.0741136,239.9564016,1681.484901,198.1069535,1888.856099,2.996547289,4.670278224,-0.011931082,1920.337034,109.6106713
Bodega,7/25/2016,Day,4,14,11:32:00,37.1,16.1,10.69,2168.938068,1.78,1.37,4.59,0.84,7.967314036,2233.727176,16.40586082,457.9652125,459.6027838,1820.761753,137.1774015,1974.345016,2.080413422,3.223486361,0.004107685,2034.672224,962.5583198
Bodega,7/25/2016,Day,4,15,11:06:00,36.7,13.9,10.7,2095.498433,5.15,1.34,10.93,0.84,7.872656351,2131.717903,21.71898225,566.0204653,568.1020858,1835.769065,101.3157758,1958.803823,1.532546346,2.38684742,0.012409221,1996.891676,203.212738
Bodega,7/25/2016,Day,4,Ocean,11:35:00,36.4,12,9.51,2228.921167,5.81,0.883,1.12,0.84,8.155391239,2259.32188,11.57894803,283.8358864,284.9051555,1787.975075,174.6110578,1974.165081,2.636043713,4.122205142,-0.009032786,1996.100248,NA
Bodega,7/25/2016,Day,5,1,12:00:00,37,15.3,9.06,2197.436277,7.79,2.49,17.64,0,7.829572293,2250.911729,24.41562727,665.1097253,667.5127937,1935.703731,102.7719618,2062.89132,1.55658417,2.416376072,0,2120.193857,91.0615343
Bodega,7/25/2016,Day,5,2,12:02:00,37.1,14.6,11.7,2111.417023,6.8,1.81,12.82,0,7.978572261,2171.593905,16.1719662,431.5581918,433.130964,1778.702165,129.8399605,1924.714092,1.962168693,3.050357161,0,1983.5248,102.8442329
Bodega,7/25/2016,Day,5,3,12:04:00,36.8,16.2,16.29,2050.85938,14.1,2.08,16.48,0,8.175588017,2096.127366,8.717170665,243.6526122,244.5225439,1563.103429,189.7120635,1761.532663,2.883419867,4.467886451,0,1800.677833,185.7225471
Bodega,7/25/2016,Day,5,4,12:06:00,36.6,18.8,14.29,1971.304265,11.2,2.04,17.82,0,8.004233682,1999.503003,12.50583411,376.4172833,377.7181744,1599.637973,143.7919403,1755.935747,2.204568202,3.395407156,0,1785.201343,84.81180122
Bodega,7/25/2016,Day,5,5,12:09:00,37.1,19.7,17.28,1759.007321,4.94,1.9,13.07,0,8.299108698,1806.334406,4.559254203,141.1157233,141.5978366,1176.724375,218.1501197,1399.433749,3.342877362,5.134277921,0,1442.194224,175.9341559
Bodega,7/25/2016,Day,5,6,12:12:00,36.8,16.3,21.14,1931.322595,6.86,1.35,10.32,0,8.462752522,1972.083986,3.433011777,96.23971785,96.58283887,1195.216896,282.0830694,1480.732977,4.288467061,6.643499546,0,1513.638155,103.852905
Bodega,7/25/2016,Day,5,7,12:14:00,37.2,15.3,16.7,2139.419268,17.6,4.71,17.58,0,8.08745672,2215.62091,11.92076466,325.0981325,326.2722803,1713.803297,165.4924223,1891.216484,2.503349631,3.885438795,0,1954.257034,199.1576778
Bodega,7/25/2016,Day,5,8,12:18:00,36.9,16.3,23.59,2044.329236,1.25,1.28,5.57,0,8.746386942,2092.321467,1.403924623,39.37891826,39.51930598,939.844745,427.1445996,1368.393269,6.48967545,10.05257479,0,1402.603101,80.49651403
Bodega,7/25/2016,Day,5,9,12:20:00,37.2,18.1,29.49,2021.198911,0.673,0.846,4.59,0,8.906902394,2085.398841,0.70087491,20.74850672,20.82081594,708.5439898,502.3117603,1211.556625,7.654281069,11.80282438,0,1251.941846,153.4207137
Bodega,7/25/2016,Day,5,10,12:22:00,37.3,15.4,20.59,2019.376495,2.51,0.934,3.62,0,8.561347106,2092.116069,2.688735785,73.58756459,73.852927,1154.526944,333.9813406,1491.19702,5.049941149,7.835638488,0,1545.045801,87.29856949
Bodega,7/25/2016,Day,5,11,12:30:00,37.2,16.9,19.4,1766.822106,3.07,1.13,13.98,0,8.257234297,1815.610176,5.70422897,163.1132478,163.6904439,1257.743812,190.8720793,1454.32012,2.898833704,4.482899661,0,1502.797457,43.56405344
Bodega,7/25/2016,Day,5,12,12:26:00,38.3,16.2,9.25,2156.193126,8.66,1.47,10.93,0,7.80219344,2293.098798,24.76819418,698.0818351,700.5755176,1898.747233,100.7524183,2024.267845,1.515918666,2.346452323,0,2153.596068,32.5917996
Bodega,7/25/2016,Day,5,13,12:27:00,36.8,14.9,20.65,2129.118185,1.92,1.14,5.51,0,8.459499899,2173.927478,4.064265341,109.26535,109.6618969,1359.582548,301.8514643,1665.498278,4.573284336,7.106869093,0,1702.509351,104.6119399
Bodega,7/25/2016,Day,5,14,12:32:00,37.3,17.3,13.59,2135.350162,2.24,2.06,8.49,0,8.121164024,2208.118724,10.18827741,294.9080136,295.9464873,1658.210644,187.1858352,1855.584757,2.844011599,4.393596581,0,1922.591984,937.4887584
Bodega,7/25/2016,Day,5,15,12:05:00,36.8,15.3,12.96,2034.361382,4.6,1.62,13.07,0,8.054080395,2072.567191,12.47472352,339.4465444,340.6725336,1656.148913,146.8038068,1815.427443,2.226283831,3.456618567,0,1855.770275,187.6608524
Bodega,7/25/2016,Day,5,Ocean,12:35:00,36.3,12.7,9.74,2155.544834,5.95,0.946,1.24,0,8.225747601,2179.210841,8.988730057,225.1530382,225.9935799,1659.235672,195.3585998,1863.583002,2.954758374,4.614888505,0,1879.112861,NA
Bodega,7/27/2016,Night,0,1,21:48:00,36.3,12.3,7.26,2225.009673,6.81,1.26,6.420732,0,7.802422685,2245.214432,29.04455995,718.3839504,721.0811107,2003.030285,87.60638414,2119.681229,1.32402521,2.069531217,0,2137.345239,0
Bodega,7/27/2016,Night,0,2,21:49:00,36.4,12.4,6.75,2179.634128,2.98,0.763,4.835366,0,7.889595888,2202.747782,22.67892736,563.0364492,565.1472823,1917.806781,103.1527035,2043.638412,1.558396346,2.435136718,0,2066.345506,0
Bodega,7/27/2016,Night,0,3,21:50:00,36.4,12.2,5.65,2218.410579,5.93,0.946,8.981707,0,7.703800334,2240.930482,37.16035396,916.7285036,920.1755275,2038.580377,70.92987999,2146.670611,1.07119019,1.674474831,0,2170.522507,0
Bodega,7/27/2016,Night,0,4,21:55:00,36.5,12.8,5.53,2231.704042,4.15,0.793,8.25,0,7.845953495,2259.347001,25.66556247,645.6370722,648.0453891,1983.630642,98.22123069,2107.517436,1.484172332,2.317107459,0,2136.788511,0
