"Plot Title: TP15"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10969479, SEN S/N: 10969479)","Intensity, lum/ft² (LGR S/N: 10969479, SEN S/N: 10969479)","Coupler Detached (LGR S/N: 10969479)","Coupler Attached (LGR S/N: 10969479)","Host Connected (LGR S/N: 10969479)","Stopped (LGR S/N: 10969479)","End Of File (LGR S/N: 10969479)"
1,07/23/16 05:31:24 PM,20.996,0.0,,,,,
2,07/23/16 05:32:06 PM,,,Logged,,,,
3,07/23/16 05:32:24 PM,21.378,0.0,,,,,
4,07/23/16 05:33:24 PM,21.569,0.0,,,,,
5,07/23/16 05:34:24 PM,21.569,0.0,,,,,
6,07/23/16 05:35:24 PM,21.569,0.0,,,,,
7,07/23/16 05:36:24 PM,21.569,0.0,,,,,
8,07/23/16 05:37:24 PM,21.664,0.0,,,,,
9,07/23/16 05:38:24 PM,21.569,0.0,,,,,
10,07/23/16 05:39:24 PM,21.569,0.0,,,,,
11,07/23/16 05:40:24 PM,21.569,0.0,,,,,
12,07/23/16 05:41:24 PM,21.569,0.0,,,,,
13,07/23/16 05:42:24 PM,21.569,0.0,,,,,
14,07/23/16 05:43:24 PM,21.569,0.0,,,,,
15,07/23/16 05:44:24 PM,21.473,0.0,,,,,
16,07/23/16 05:45:24 PM,21.473,0.0,,,,,
17,07/23/16 05:46:24 PM,21.473,0.0,,,,,
18,07/23/16 05:47:24 PM,21.473,0.0,,,,,
19,07/23/16 05:48:24 PM,21.473,0.0,,,,,
20,07/23/16 05:49:24 PM,21.473,0.0,,,,,
21,07/23/16 05:50:24 PM,21.378,0.0,,,,,
22,07/23/16 05:51:24 PM,21.378,0.0,,,,,
23,07/23/16 05:52:24 PM,21.378,0.0,,,,,
24,07/23/16 05:53:24 PM,21.378,0.0,,,,,
25,07/23/16 05:54:24 PM,21.378,0.0,,,,,
26,07/23/16 05:55:24 PM,21.282,0.0,,,,,
27,07/23/16 05:56:24 PM,21.282,0.0,,,,,
