"Plot Title: TP8"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10969482, SEN S/N: 10969482)","Intensity, lum/ft² (LGR S/N: 10969482, SEN S/N: 10969482)","Coupler Detached (LGR S/N: 10969482)","Coupler Attached (LGR S/N: 10969482)","Host Connected (LGR S/N: 10969482)","Stopped (LGR S/N: 10969482)","End Of File (LGR S/N: 10969482)"
1,07/06/16 03:39:11 PM,20.329,0.0,,,,,
2,07/06/16 03:39:15 PM,,,Logged,,,,
3,07/06/16 03:40:11 PM,21.091,1.0,,,,,
4,07/06/16 03:41:11 PM,23.869,0.0,,,,,
5,07/06/16 03:42:11 PM,24.158,0.0,,,,,
6,07/06/16 03:43:11 PM,24.255,0.0,,,,,
7,07/06/16 03:44:11 PM,24.448,0.0,,,,,
8,07/06/16 03:45:11 PM,24.641,3.0,,,,,
9,07/06/16 03:46:11 PM,24.835,2.0,,,,,
10,07/06/16 03:47:11 PM,24.641,2.0,,,,,
11,07/06/16 03:48:11 PM,24.545,3.0,,,,,
12,07/06/16 03:49:11 PM,24.351,3.0,,,,,
13,07/06/16 03:50:11 PM,24.255,2.0,,,,,
14,07/06/16 03:51:11 PM,24.062,2.0,,,,,
15,07/06/16 03:52:11 PM,23.966,2.0,,,,,
16,07/06/16 03:53:11 PM,23.869,2.0,,,,,
17,07/06/16 03:54:11 PM,23.773,3.0,,,,,
18,07/06/16 03:55:11 PM,23.677,4.0,,,,,
19,07/06/16 03:56:11 PM,23.581,4.0,,,,,
20,07/06/16 03:57:11 PM,23.484,4.0,,,,,
21,07/06/16 03:58:11 PM,23.388,3.0,,,,,
22,07/06/16 03:59:11 PM,23.388,3.0,,,,,
23,07/06/16 04:00:11 PM,23.292,5.0,,,,,
24,07/06/16 04:01:11 PM,23.196,3.0,,,,,
25,07/06/16 04:02:11 PM,23.196,3.0,,,,,
26,07/06/16 04:03:11 PM,23.100,4.0,,,,,
27,07/06/16 04:04:11 PM,23.100,4.0,,,,,
28,07/06/16 04:05:11 PM,23.004,4.0,,,,,
29,07/06/16 04:06:11 PM,23.004,3.0,,,,,
30,07/06/16 04:07:11 PM,23.004,60.0,,,,,
31,07/06/16 04:08:11 PM,23.292,2816.0,,,,,
32,07/06/16 04:09:11 PM,23.484,2944.0,,,,,
33,07/06/16 04:10:11 PM,23.484,3072.0,,,,,
34,07/06/16 04:11:11 PM,23.484,3072.0,,,,,
35,07/06/16 04:12:11 PM,23.292,2816.0,,,,,
36,07/06/16 04:13:11 PM,23.292,2688.0,,,,,
37,07/06/16 04:14:11 PM,23.292,2816.0,,,,,
38,07/06/16 04:15:11 PM,23.004,3200.0,,,,,
39,07/06/16 04:16:11 PM,23.004,3072.0,,,,,
40,07/06/16 04:17:11 PM,23.004,2688.0,,,,,
41,07/06/16 04:18:11 PM,23.004,2816.0,,,,,
42,07/06/16 04:19:11 PM,23.004,2944.0,,,,,
43,07/06/16 04:20:11 PM,23.100,2944.0,,,,,
44,07/06/16 04:21:11 PM,22.812,2944.0,,,,,
45,07/06/16 04:22:11 PM,22.717,2816.0,,,,,
46,07/06/16 04:23:11 PM,22.525,2688.0,,,,,
47,07/06/16 04:24:11 PM,22.525,2688.0,,,,,
48,07/06/16 04:25:11 PM,22.525,2688.0,,,,,
49,07/06/16 04:26:11 PM,22.525,2560.0,,,,,
50,07/06/16 04:27:11 PM,22.525,2432.0,,,,,
51,07/06/16 04:28:11 PM,22.525,2432.0,,,,,
52,07/06/16 04:29:11 PM,22.525,2432.0,,,,,
53,07/06/16 04:30:11 PM,22.525,2432.0,,,,,
54,07/06/16 04:31:11 PM,22.429,2688.0,,,,,
55,07/06/16 04:32:11 PM,22.429,2816.0,,,,,
56,07/06/16 04:33:11 PM,22.429,2688.0,,,,,
57,07/06/16 04:34:11 PM,22.333,2432.0,,,,,
58,07/06/16 04:35:11 PM,22.238,2304.0,,,,,
59,07/06/16 04:36:11 PM,22.142,2304.0,,,,,
60,07/06/16 04:37:11 PM,22.142,2176.0,,,,,
61,07/06/16 04:38:11 PM,22.046,2176.0,,,,,
62,07/06/16 04:39:11 PM,22.046,2432.0,,,,,
63,07/06/16 04:40:11 PM,22.046,2560.0,,,,,
64,07/06/16 04:41:11 PM,22.046,2688.0,,,,,
65,07/06/16 04:42:11 PM,22.046,2560.0,,,,,
66,07/06/16 04:43:11 PM,22.046,2432.0,,,,,
67,07/06/16 04:44:11 PM,22.142,2432.0,,,,,
68,07/06/16 04:45:11 PM,22.142,2432.0,,,,,
69,07/06/16 04:46:11 PM,22.142,2432.0,,,,,
70,07/06/16 04:47:11 PM,22.142,2560.0,,,,,
71,07/06/16 04:48:11 PM,22.142,2688.0,,,,,
72,07/06/16 04:49:11 PM,22.142,2432.0,,,,,
73,07/06/16 04:50:11 PM,21.855,2432.0,,,,,
74,07/06/16 04:51:11 PM,21.855,2432.0,,,,,
75,07/06/16 04:52:11 PM,21.855,2688.0,,,,,
76,07/06/16 04:53:11 PM,21.951,2304.0,,,,,
77,07/06/16 04:54:11 PM,21.855,2048.0,,,,,
78,07/06/16 04:55:11 PM,21.664,2176.0,,,,,
79,07/06/16 04:56:11 PM,21.664,2432.0,,,,,
80,07/06/16 04:57:11 PM,21.760,2560.0,,,,,
81,07/06/16 04:58:11 PM,21.855,2560.0,,,,,
82,07/06/16 04:59:11 PM,21.855,2432.0,,,,,
83,07/06/16 05:00:11 PM,22.046,2432.0,,,,,
84,07/06/16 05:01:11 PM,22.046,2176.0,,,,,
85,07/06/16 05:02:11 PM,22.046,2048.0,,,,,
86,07/06/16 05:03:11 PM,21.951,2048.0,,,,,
87,07/06/16 05:04:11 PM,21.760,2176.0,,,,,
88,07/06/16 05:05:11 PM,21.664,2304.0,,,,,
89,07/06/16 05:06:11 PM,21.378,2432.0,,,,,
90,07/06/16 05:07:11 PM,21.187,2304.0,,,,,
91,07/06/16 05:08:11 PM,21.091,2176.0,,,,,
92,07/06/16 05:09:11 PM,21.091,2048.0,,,,,
93,07/06/16 05:10:11 PM,21.091,1984.0,,,,,
94,07/06/16 05:11:11 PM,20.901,1920.0,,,,,
95,07/06/16 05:12:11 PM,20.901,2048.0,,,,,
96,07/06/16 05:13:11 PM,20.901,2176.0,,,,,
97,07/06/16 05:14:11 PM,20.805,2304.0,,,,,
98,07/06/16 05:15:11 PM,20.805,2304.0,,,,,
99,07/06/16 05:16:11 PM,20.805,2176.0,,,,,
100,07/06/16 05:17:11 PM,20.805,2048.0,,,,,
101,07/06/16 05:18:11 PM,20.805,2048.0,,,,,
102,07/06/16 05:19:11 PM,20.805,2048.0,,,,,
103,07/06/16 05:20:11 PM,20.805,2048.0,,,,,
104,07/06/16 05:21:11 PM,20.805,2176.0,,,,,
105,07/06/16 05:22:11 PM,20.710,2048.0,,,,,
106,07/06/16 05:23:11 PM,20.615,2048.0,,,,,
107,07/06/16 05:24:11 PM,20.615,2176.0,,,,,
108,07/06/16 05:25:11 PM,20.615,2176.0,,,,,
109,07/06/16 05:26:11 PM,20.615,2048.0,,,,,
110,07/06/16 05:27:11 PM,20.615,2048.0,,,,,
111,07/06/16 05:28:11 PM,20.519,1920.0,,,,,
112,07/06/16 05:29:11 PM,20.329,1728.0,,,,,
113,07/06/16 05:30:11 PM,20.329,1728.0,,,,,
114,07/06/16 05:31:11 PM,20.234,1856.0,,,,,
115,07/06/16 05:32:11 PM,20.043,1792.0,,,,,
116,07/06/16 05:33:11 PM,20.043,1792.0,,,,,
117,07/06/16 05:34:11 PM,19.948,1984.0,,,,,
118,07/06/16 05:35:11 PM,19.948,1792.0,,,,,
119,07/06/16 05:36:11 PM,19.948,1920.0,,,,,
120,07/06/16 05:37:11 PM,19.948,1984.0,,,,,
121,07/06/16 05:38:11 PM,19.948,2048.0,,,,,
122,07/06/16 05:39:11 PM,19.948,1984.0,,,,,
123,07/06/16 05:40:11 PM,19.853,1984.0,,,,,
124,07/06/16 05:41:11 PM,19.853,1856.0,,,,,
125,07/06/16 05:42:11 PM,19.758,1664.0,,,,,
126,07/06/16 05:43:11 PM,19.758,1600.0,,,,,
127,07/06/16 05:44:11 PM,19.662,1536.0,,,,,
128,07/06/16 05:45:11 PM,19.567,1536.0,,,,,
129,07/06/16 05:46:11 PM,19.567,1536.0,,,,,
130,07/06/16 05:47:11 PM,19.567,1536.0,,,,,
131,07/06/16 05:48:11 PM,19.472,1536.0,,,,,
132,07/06/16 05:49:11 PM,19.567,1472.0,,,,,
133,07/06/16 05:50:11 PM,19.567,1536.0,,,,,
134,07/06/16 05:51:11 PM,19.567,1664.0,,,,,
135,07/06/16 05:52:11 PM,19.662,1664.0,,,,,
136,07/06/16 05:53:11 PM,19.472,1536.0,,,,,
137,07/06/16 05:54:11 PM,19.377,1344.0,,,,,
138,07/06/16 05:55:11 PM,19.187,1344.0,,,,,
139,07/06/16 05:56:11 PM,18.996,1344.0,,,,,
140,07/06/16 05:57:11 PM,18.901,1472.0,,,,,
141,07/06/16 05:58:11 PM,18.901,1408.0,,,,,
142,07/06/16 05:59:11 PM,18.901,1472.0,,,,,
143,07/06/16 06:00:11 PM,18.901,1472.0,,,,,
144,07/06/16 06:01:11 PM,18.996,1536.0,,,,,
145,07/06/16 06:02:11 PM,19.092,1728.0,,,,,
146,07/06/16 06:03:11 PM,19.187,1792.0,,,,,
147,07/06/16 06:04:11 PM,19.187,1728.0,,,,,
148,07/06/16 06:05:11 PM,19.187,1344.0,,,,,
149,07/06/16 06:06:11 PM,19.092,1088.0,,,,,
150,07/06/16 06:07:11 PM,19.092,1088.0,,,,,
151,07/06/16 06:08:11 PM,18.996,1152.0,,,,,
152,07/06/16 06:09:11 PM,18.901,1280.0,,,,,
153,07/06/16 06:10:11 PM,18.901,1408.0,,,,,
154,07/06/16 06:11:11 PM,18.901,1536.0,,,,,
155,07/06/16 06:12:11 PM,18.901,1600.0,,,,,
156,07/06/16 06:13:11 PM,18.901,1536.0,,,,,
157,07/06/16 06:14:11 PM,18.901,1472.0,,,,,
158,07/06/16 06:15:11 PM,18.901,1344.0,,,,,
159,07/06/16 06:16:11 PM,18.711,1088.0,,,,,
160,07/06/16 06:17:11 PM,18.616,896.0,,,,,
161,07/06/16 06:18:11 PM,18.426,800.0,,,,,
162,07/06/16 06:19:11 PM,18.236,864.0,,,,,
163,07/06/16 06:20:11 PM,18.045,896.0,,,,,
164,07/06/16 06:21:11 PM,17.950,864.0,,,,,
165,07/06/16 06:22:11 PM,17.950,800.0,,,,,
166,07/06/16 06:23:11 PM,17.855,768.0,,,,,
167,07/06/16 06:24:11 PM,17.855,864.0,,,,,
168,07/06/16 06:25:11 PM,17.760,1024.0,,,,,
169,07/06/16 06:26:11 PM,17.855,1216.0,,,,,
170,07/06/16 06:27:11 PM,17.855,1152.0,,,,,
171,07/06/16 06:28:11 PM,17.760,896.0,,,,,
172,07/06/16 06:29:11 PM,17.570,768.0,,,,,
173,07/06/16 06:30:11 PM,17.475,800.0,,,,,
174,07/06/16 06:31:11 PM,17.475,896.0,,,,,
175,07/06/16 06:32:11 PM,17.379,992.0,,,,,
176,07/06/16 06:33:11 PM,17.379,1088.0,,,,,
177,07/06/16 06:34:11 PM,17.475,1152.0,,,,,
178,07/06/16 06:35:11 PM,17.475,1344.0,,,,,
179,07/06/16 06:36:11 PM,17.475,1344.0,,,,,
180,07/06/16 06:37:11 PM,17.475,1152.0,,,,,
181,07/06/16 06:38:11 PM,17.379,960.0,,,,,
182,07/06/16 06:39:11 PM,17.379,896.0,,,,,
183,07/06/16 06:40:11 PM,17.379,960.0,,,,,
184,07/06/16 06:41:11 PM,17.284,896.0,,,,,
