"Plot Title: TP2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10969475, SEN S/N: 10969475)","Intensity, lum/ft² (LGR S/N: 10969475, SEN S/N: 10969475)","Coupler Detached (LGR S/N: 10969475)","Coupler Attached (LGR S/N: 10969475)","Host Connected (LGR S/N: 10969475)","Stopped (LGR S/N: 10969475)","End Of File (LGR S/N: 10969475)"
1,07/06/16 03:33:59 PM,22.238,0.0,,,,,
2,07/06/16 03:34:12 PM,,,Logged,,,,
3,07/06/16 03:34:59 PM,23.388,1.0,,,,,
4,07/06/16 03:35:59 PM,24.255,1.0,,,,,
5,07/06/16 03:36:59 PM,24.545,0.0,,,,,
6,07/06/16 03:37:59 PM,24.835,0.0,,,,,
7,07/06/16 03:38:59 PM,25.028,0.0,,,,,
8,07/06/16 03:39:59 PM,25.125,0.0,,,,,
9,07/06/16 03:40:59 PM,25.222,0.0,,,,,
10,07/06/16 03:41:59 PM,25.319,0.0,,,,,
11,07/06/16 03:42:59 PM,25.416,0.0,,,,,
12,07/06/16 03:43:59 PM,25.513,0.0,,,,,
13,07/06/16 03:44:59 PM,25.610,0.0,,,,,
14,07/06/16 03:45:59 PM,25.610,4.0,,,,,
15,07/06/16 03:46:59 PM,25.416,4.0,,,,,
16,07/06/16 03:47:59 PM,25.319,4.0,,,,,
17,07/06/16 03:48:59 PM,25.222,4.0,,,,,
18,07/06/16 03:49:59 PM,25.125,4.0,,,,,
19,07/06/16 03:50:59 PM,24.931,4.0,,,,,
20,07/06/16 03:51:59 PM,24.835,4.0,,,,,
21,07/06/16 03:52:59 PM,24.738,4.0,,,,,
22,07/06/16 03:53:59 PM,24.641,5.0,,,,,
23,07/06/16 03:54:59 PM,24.448,6.0,,,,,
24,07/06/16 03:55:59 PM,24.351,8.0,,,,,
25,07/06/16 03:56:59 PM,24.255,8.0,,,,,
26,07/06/16 03:57:59 PM,24.255,5.0,,,,,
27,07/06/16 03:58:59 PM,24.158,5.0,,,,,
28,07/06/16 03:59:59 PM,24.062,7.0,,,,,
29,07/06/16 04:00:59 PM,23.966,6.0,,,,,
30,07/06/16 04:01:59 PM,23.966,5.0,,,,,
31,07/06/16 04:02:59 PM,23.869,6.0,,,,,
32,07/06/16 04:03:59 PM,23.773,8.0,,,,,
33,07/06/16 04:04:59 PM,23.773,7.0,,,,,
34,07/06/16 04:05:59 PM,23.677,5.0,,,,,
35,07/06/16 04:06:59 PM,23.677,1.0,,,,,
36,07/06/16 04:07:59 PM,23.869,3072.0,,,,,
37,07/06/16 04:08:59 PM,23.869,3200.0,,,,,
38,07/06/16 04:09:59 PM,23.773,3328.0,,,,,
39,07/06/16 04:10:59 PM,23.677,3456.0,,,,,
40,07/06/16 04:11:59 PM,23.484,3072.0,,,,,
41,07/06/16 04:12:59 PM,23.484,2944.0,,,,,
42,07/06/16 04:13:59 PM,23.388,3200.0,,,,,
43,07/06/16 04:14:59 PM,23.196,3456.0,,,,,
44,07/06/16 04:15:59 PM,23.100,3328.0,,,,,
45,07/06/16 04:16:59 PM,23.004,2944.0,,,,,
46,07/06/16 04:17:59 PM,23.004,3072.0,,,,,
47,07/06/16 04:18:59 PM,23.004,3200.0,,,,,
48,07/06/16 04:19:59 PM,23.004,3200.0,,,,,
49,07/06/16 04:20:59 PM,22.812,3200.0,,,,,
50,07/06/16 04:21:59 PM,22.717,3072.0,,,,,
51,07/06/16 04:22:59 PM,22.525,2816.0,,,,,
52,07/06/16 04:23:59 PM,22.429,2944.0,,,,,
53,07/06/16 04:24:59 PM,22.429,2944.0,,,,,
54,07/06/16 04:25:59 PM,22.429,2816.0,,,,,
55,07/06/16 04:26:59 PM,22.429,2688.0,,,,,
56,07/06/16 04:27:59 PM,22.429,2688.0,,,,,
57,07/06/16 04:28:59 PM,22.429,2688.0,,,,,
58,07/06/16 04:29:59 PM,22.429,2688.0,,,,,
59,07/06/16 04:30:59 PM,22.333,2816.0,,,,,
60,07/06/16 04:31:59 PM,22.333,2944.0,,,,,
61,07/06/16 04:32:59 PM,22.238,2944.0,,,,,
62,07/06/16 04:33:59 PM,22.238,2560.0,,,,,
63,07/06/16 04:34:59 PM,22.142,2432.0,,,,,
64,07/06/16 04:35:59 PM,22.046,2432.0,,,,,
65,07/06/16 04:36:59 PM,21.951,2304.0,,,,,
66,07/06/16 04:37:59 PM,21.951,2304.0,,,,,
67,07/06/16 04:38:59 PM,21.951,2560.0,,,,,
68,07/06/16 04:39:59 PM,21.855,2688.0,,,,,
69,07/06/16 04:40:59 PM,21.855,2816.0,,,,,
70,07/06/16 04:41:59 PM,21.951,2816.0,,,,,
71,07/06/16 04:42:59 PM,21.951,2688.0,,,,,
72,07/06/16 04:43:59 PM,22.046,2560.0,,,,,
73,07/06/16 04:44:59 PM,22.142,2560.0,,,,,
74,07/06/16 04:45:59 PM,22.046,2560.0,,,,,
75,07/06/16 04:46:59 PM,22.046,2688.0,,,,,
76,07/06/16 04:47:59 PM,22.142,2816.0,,,,,
77,07/06/16 04:48:59 PM,22.046,2688.0,,,,,
78,07/06/16 04:49:59 PM,21.951,2560.0,,,,,
79,07/06/16 04:50:59 PM,21.855,2560.0,,,,,
80,07/06/16 04:51:59 PM,21.855,2816.0,,,,,
81,07/06/16 04:52:59 PM,21.855,2560.0,,,,,
82,07/06/16 04:53:59 PM,21.760,2176.0,,,,,
83,07/06/16 04:54:59 PM,21.664,2304.0,,,,,
84,07/06/16 04:55:59 PM,21.569,2560.0,,,,,
85,07/06/16 04:56:59 PM,21.664,2688.0,,,,,
86,07/06/16 04:57:59 PM,21.760,2816.0,,,,,
87,07/06/16 04:58:59 PM,21.760,2688.0,,,,,
88,07/06/16 04:59:59 PM,21.855,2688.0,,,,,
89,07/06/16 05:00:59 PM,21.951,2432.0,,,,,
90,07/06/16 05:01:59 PM,21.855,2176.0,,,,,
91,07/06/16 05:02:59 PM,21.855,2176.0,,,,,
92,07/06/16 05:03:59 PM,21.760,2304.0,,,,,
93,07/06/16 05:04:59 PM,21.569,2432.0,,,,,
94,07/06/16 05:05:59 PM,21.378,2560.0,,,,,
