"Plot Title: TP2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10969475, SEN S/N: 10969475)","Intensity, lum/ft² (LGR S/N: 10969475, SEN S/N: 10969475)","Coupler Detached (LGR S/N: 10969475)","End Of File (LGR S/N: 10969475)"
1,08/06/16 09:22:12 PM,24.931,0.0,,
2,08/06/16 09:22:16 PM,,,Logged,
3,08/06/16 09:23:12 PM,25.222,0.0,,
4,08/06/16 09:24:12 PM,25.319,0.0,,
5,08/06/16 09:25:12 PM,25.222,0.0,,
6,08/06/16 09:26:12 PM,25.222,0.0,,
7,08/06/16 09:27:12 PM,25.125,0.0,,
8,08/06/16 09:28:12 PM,25.125,0.0,,
9,08/06/16 09:29:12 PM,25.028,0.0,,
10,08/06/16 09:30:12 PM,24.931,0.0,,
11,08/06/16 09:31:12 PM,24.931,0.0,,
12,08/06/16 09:32:12 PM,24.931,0.0,,
13,08/06/16 09:33:12 PM,24.931,0.0,,
14,08/06/16 09:34:12 PM,24.931,0.0,,
15,08/06/16 09:35:12 PM,24.835,0.0,,
16,08/06/16 09:36:12 PM,24.835,0.0,,
17,08/06/16 09:37:12 PM,24.835,0.0,,
18,08/06/16 09:38:12 PM,24.738,0.0,,
19,08/06/16 09:39:12 PM,24.738,0.0,,
20,08/06/16 09:40:12 PM,24.641,0.0,,
21,08/06/16 09:41:12 PM,24.641,0.0,,
22,08/06/16 09:42:12 PM,24.641,0.0,,
23,08/06/16 09:43:12 PM,24.545,0.0,,
24,08/06/16 09:44:12 PM,24.545,0.0,,
25,08/06/16 09:45:12 PM,24.545,0.0,,
26,08/06/16 09:46:12 PM,24.545,0.0,,
27,08/06/16 09:47:12 PM,24.448,0.0,,
28,08/06/16 09:48:12 PM,24.448,0.0,,
29,08/06/16 09:49:12 PM,24.448,0.0,,
30,08/06/16 09:50:12 PM,24.448,0.0,,
31,08/06/16 09:51:12 PM,24.351,0.0,,
32,08/06/16 09:52:12 PM,24.351,0.0,,
33,08/06/16 09:53:12 PM,24.351,0.0,,
34,08/06/16 09:54:12 PM,24.351,0.0,,
35,08/06/16 09:55:12 PM,24.255,0.0,,
36,08/06/16 09:56:12 PM,24.255,0.0,,
37,08/06/16 09:57:12 PM,24.255,0.0,,
38,08/06/16 09:58:12 PM,24.255,0.0,,
39,08/06/16 09:59:12 PM,24.255,0.0,,
40,08/06/16 10:00:12 PM,24.158,0.0,,
41,08/06/16 10:01:12 PM,24.158,0.0,,
42,08/06/16 10:02:12 PM,24.158,0.0,,
43,08/06/16 10:03:12 PM,24.158,0.0,,
44,08/06/16 10:04:12 PM,24.158,0.0,,
45,08/06/16 10:05:12 PM,24.158,0.0,,
46,08/06/16 10:06:12 PM,24.062,0.0,,
47,08/06/16 10:07:12 PM,24.062,0.0,,
48,08/06/16 10:08:12 PM,24.062,0.0,,
49,08/06/16 10:09:12 PM,24.062,0.0,,
50,08/06/16 10:10:12 PM,24.062,0.0,,
51,08/06/16 10:11:12 PM,24.062,0.0,,
52,08/06/16 10:12:12 PM,24.062,0.0,,
53,08/06/16 10:13:12 PM,24.062,0.0,,
54,08/06/16 10:14:12 PM,23.966,0.0,,
55,08/06/16 10:15:12 PM,23.966,0.0,,
56,08/06/16 10:16:12 PM,23.966,0.0,,
57,08/06/16 10:17:12 PM,23.966,0.0,,
58,08/06/16 10:18:12 PM,23.966,0.0,,
59,08/06/16 10:19:12 PM,23.966,0.0,,
60,08/06/16 10:20:12 PM,23.966,0.0,,
61,08/06/16 10:21:12 PM,23.966,0.0,,
62,08/06/16 10:22:12 PM,23.869,0.0,,
63,08/06/16 10:23:12 PM,23.869,0.0,,
64,08/06/16 10:24:12 PM,23.869,0.0,,
65,08/06/16 10:25:12 PM,23.869,0.0,,
